Started at: 09:43:57

📌 Processing: /DATA/rohan_kirti/country/china/HBQ/China_HBQ.xlsx
✅ Saved → HBQ | cuju | Row 0
✅ Saved → HBQ | cuju | Row 1
✅ Saved → HBQ | cuju | Row 2
✅ Saved → HBQ | cuju | Row 3
✅ Saved → HBQ | cuju | Row 4
✅ Saved → HBQ | cuju | Row 5
✅ Saved → HBQ | cuju | Row 6
✅ Saved → HBQ | cuju | Row 7
✅ Saved → HBQ | cuju | Row 8
✅ Saved → HBQ | cuju | Row 9
✅ Saved → HBQ | cuju | Row 10
✅ Saved → HBQ | cuju | Row 11
✅ Saved → HBQ | cuju | Row 12
✅ Saved → HBQ | cuju | Row 13
✅ Saved → HBQ | cuju | Row 14
✅ Saved → HBQ | cuju | Row 15
✅ Saved → HBQ | cuju | Row 16
✅ Saved → HBQ | cuju | Row 17
✅ Saved → HBQ | cuju | Row 18
✅ Saved → HBQ | cuju | Row 19
✅ Saved → HBQ | cuju | Row 20
✅ Saved → HBQ | cuju | Row 21
✅ Saved → HBQ | cuju | Row 22
✅ Saved → HBQ | cuju | Row 23
✅ Saved → HBQ | cuju | Row 24
✅ Saved → HBQ | cuju | Row 25
✅ Saved → HBQ | cuju | Row 26
✅ Saved → HBQ | cuju | Row 27
✅ Saved → HBQ | cuju | Row 28
✅ Saved → HBQ | cuju | Row 29
✅ Saved → HBQ | cuju | Row 30
✅ Saved → HBQ | cuju | Row 31
✅ Saved → HBQ | cuju | Row 32
✅ Saved → HBQ | cuju | Row 33
✅ Saved → HBQ | cuju | Row 34
✅ Saved → HBQ | cuju | Row 35
✅ Saved → HBQ | cuju | Row 36
✅ Saved → HBQ | cuju | Row 37
✅ Saved → HBQ | cuju | Row 38
✅ Saved → HBQ | cuju | Row 39
✅ Saved → HBQ | cuju | Row 40
✅ Saved → HBQ | cuju | Row 41
✅ Saved → HBQ | cuju | Row 42
✅ Saved → HBQ | cuju | Row 43
✅ Saved → HBQ | cuju | Row 44
✅ Saved → HBQ | cuju | Row 45
✅ Saved → HBQ | cuju | Row 46
✅ Saved → HBQ | cuju | Row 47
✅ Saved → HBQ | cuju | Row 48
✅ Saved → HBQ | cuju | Row 49
✅ Saved → HBQ | cuju | Row 50
✅ Saved → HBQ | cuju | Row 51
✅ Saved → HBQ | cuju | Row 52
✅ Saved → HBQ | cuju | Row 53
✅ Saved → HBQ | cuju | Row 54
✅ Saved → HBQ | cuju | Row 55
✅ Saved → HBQ | cuju | Row 56
✅ Saved → HBQ | cuju | Row 57
✅ Saved → HBQ | cuju | Row 58
✅ Saved → HBQ | cuju | Row 59
✅ Saved → HBQ | cuju | Row 60
✅ Saved → HBQ | cuju | Row 61
✅ Saved → HBQ | cuju | Row 62
✅ Saved → HBQ | cuju | Row 63
✅ Saved → HBQ | cuju | Row 64
✅ Saved → HBQ | cuju | Row 65
✅ Saved → HBQ | cuju | Row 66
✅ Saved → HBQ | cuju | Row 67
✅ Saved → HBQ | cuju | Row 68
✅ Saved → HBQ | cuju | Row 69
✅ Saved → HBQ | cuju | Row 70
✅ Saved → HBQ | cuju | Row 71
✅ Saved → HBQ | cuju | Row 72
✅ Saved → HBQ | cuju | Row 73
✅ Saved → HBQ | cuju | Row 74
✅ Saved → HBQ | cuju | Row 75
✅ Saved → HBQ | cuju | Row 76
✅ Saved → HBQ | cuju | Row 77
✅ Saved → HBQ | cuju | Row 78
✅ Saved → HBQ | cuju | Row 79
✅ Saved → HBQ | cuju | Row 80
✅ Saved → HBQ | cuju | Row 81
✅ Saved → HBQ | cuju | Row 82
✅ Saved → HBQ | cuju | Row 83
✅ Saved → HBQ | cuju | Row 84
✅ Saved → HBQ | cuju | Row 85
✅ Saved → HBQ | cuju | Row 86
✅ Saved → HBQ | cuju | Row 87
✅ Saved → HBQ | cuju | Row 88
✅ Saved → HBQ | cuju | Row 89
✅ Saved → HBQ | cuju | Row 90
✅ Saved → HBQ | cuju | Row 91
✅ Saved → HBQ | cuju | Row 92
✅ Saved → HBQ | cuju | Row 93
✅ Saved → HBQ | cuju | Row 94
✅ Saved → HBQ | cuju | Row 95
✅ Saved → HBQ | cuju | Row 96
✅ Saved → HBQ | cuju | Row 97
✅ Saved → HBQ | cuju | Row 98
✅ Saved → HBQ | cuju | Row 99
✅ Saved → HBQ | cuju | Row 100
✅ Saved → HBQ | cuju | Row 101
✅ Saved → HBQ | cuju | Row 102
✅ Saved → HBQ | cuju | Row 103
✅ Saved → HBQ | cuju | Row 104
✅ Saved → HBQ | cuju | Row 105
✅ Saved → HBQ | cuju | Row 106
✅ Saved → HBQ | cuju | Row 107
✅ Saved → HBQ | cuju | Row 108
✅ Saved → HBQ | cuju | Row 109
✅ Saved → HBQ | cuju | Row 110
✅ Saved → HBQ | cuju | Row 111
✅ Saved → HBQ | cuju | Row 112
✅ Saved → HBQ | cuju | Row 113
✅ Saved → HBQ | cuju | Row 114
✅ Saved → HBQ | cuju | Row 115
✅ Saved → HBQ | cuju | Row 116
✅ Saved → HBQ | cuju | Row 117
✅ Saved → HBQ | cuju | Row 118
✅ Saved → HBQ | cuju | Row 119
✅ Saved → HBQ | cuju | Row 120
✅ Saved → HBQ | cuju | Row 121
✅ Saved → HBQ | cuju | Row 122
✅ Saved → HBQ | cuju | Row 123
✅ Saved → HBQ | cuju | Row 124
✅ Saved → HBQ | cuju | Row 125
✅ Saved → HBQ | cuju | Row 126
✅ Saved → HBQ | cuju | Row 127
✅ Saved → HBQ | cuju | Row 128
✅ Saved → HBQ | cuju | Row 129
✅ Saved → HBQ | cuju | Row 130
✅ Saved → HBQ | cuju | Row 131
✅ Saved → HBQ | cuju | Row 132
✅ Saved → HBQ | cuju | Row 133
✅ Saved → HBQ | cuju | Row 134
✅ Saved → HBQ | cuju | Row 135
✅ Saved → HBQ | cuju | Row 136
✅ Saved → HBQ | cuju | Row 137
✅ Saved → HBQ | cuju | Row 138
✅ Saved → HBQ | cuju | Row 139
✅ Saved → HBQ | cuju | Row 140
✅ Saved → HBQ | cuju | Row 141
✅ Saved → HBQ | cuju | Row 142
✅ Saved → HBQ | cuju | Row 143
✅ Saved → HBQ | cuju | Row 144
✅ Saved → HBQ | cuju | Row 145
✅ Saved → HBQ | cuju | Row 146
✅ Saved → HBQ | cuju | Row 147
✅ Saved → HBQ | cuju | Row 148
✅ Saved → HBQ | cuju | Row 149
✅ Saved → HBQ | cuju | Row 150
✅ Saved → HBQ | dragon boat racing | Row 0
✅ Saved → HBQ | dragon boat racing | Row 1
✅ Saved → HBQ | dragon boat racing | Row 2
✅ Saved → HBQ | dragon boat racing | Row 3
✅ Saved → HBQ | dragon boat racing | Row 4
✅ Saved → HBQ | dragon boat racing | Row 5
✅ Saved → HBQ | dragon boat racing | Row 6
✅ Saved → HBQ | dragon boat racing | Row 7
✅ Saved → HBQ | dragon boat racing | Row 8
✅ Saved → HBQ | dragon boat racing | Row 9
✅ Saved → HBQ | dragon boat racing | Row 10
✅ Saved → HBQ | dragon boat racing | Row 11
✅ Saved → HBQ | dragon boat racing | Row 12
✅ Saved → HBQ | dragon boat racing | Row 13
✅ Saved → HBQ | dragon boat racing | Row 14
✅ Saved → HBQ | dragon boat racing | Row 15
✅ Saved → HBQ | dragon boat racing | Row 16
✅ Saved → HBQ | dragon boat racing | Row 17
✅ Saved → HBQ | dragon boat racing | Row 18
✅ Saved → HBQ | dragon boat racing | Row 19
✅ Saved → HBQ | dragon boat racing | Row 20
✅ Saved → HBQ | dragon boat racing | Row 21
✅ Saved → HBQ | dragon boat racing | Row 22
✅ Saved → HBQ | dragon boat racing | Row 23
✅ Saved → HBQ | dragon boat racing | Row 24
