Started at: 02:02:47
['/DATA/rohan_kirti/niladri/country/china/RBQ/China_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/niladri/country/china/RBQ/China_RBQ.xlsx
✅ Saved → RBQ | cuju | Row 0
✅ Saved → RBQ | cuju | Row 1
✅ Saved → RBQ | cuju | Row 2
✅ Saved → RBQ | cuju | Row 3
✅ Saved → RBQ | cuju | Row 4
✅ Saved → RBQ | cuju | Row 5
✅ Saved → RBQ | cuju | Row 6
✅ Saved → RBQ | cuju | Row 7
✅ Saved → RBQ | cuju | Row 8
✅ Saved → RBQ | cuju | Row 9
✅ Saved → RBQ | cuju | Row 10
✅ Saved → RBQ | cuju | Row 11
✅ Saved → RBQ | cuju | Row 12
✅ Saved → RBQ | cuju | Row 13
✅ Saved → RBQ | cuju | Row 14
✅ Saved → RBQ | cuju | Row 15
✅ Saved → RBQ | cuju | Row 16
✅ Saved → RBQ | cuju | Row 17
✅ Saved → RBQ | cuju | Row 18
✅ Saved → RBQ | cuju | Row 19
✅ Saved → RBQ | cuju | Row 20
✅ Saved → RBQ | cuju | Row 21
✅ Saved → RBQ | cuju | Row 22
✅ Saved → RBQ | cuju | Row 23
✅ Saved → RBQ | cuju | Row 24
✅ Saved → RBQ | cuju | Row 25
✅ Saved → RBQ | cuju | Row 26
✅ Saved → RBQ | cuju | Row 27
✅ Saved → RBQ | cuju | Row 28
✅ Saved → RBQ | cuju | Row 29
✅ Saved → RBQ | cuju | Row 30
✅ Saved → RBQ | cuju | Row 31
✅ Saved → RBQ | cuju | Row 32
✅ Saved → RBQ | cuju | Row 33
✅ Saved → RBQ | cuju | Row 34
✅ Saved → RBQ | cuju | Row 35
✅ Saved → RBQ | cuju | Row 36
✅ Saved → RBQ | cuju | Row 37
✅ Saved → RBQ | cuju | Row 38
✅ Saved → RBQ | cuju | Row 39
✅ Saved → RBQ | cuju | Row 40
✅ Saved → RBQ | cuju | Row 41
✅ Saved → RBQ | cuju | Row 42
✅ Saved → RBQ | cuju | Row 43
✅ Saved → RBQ | cuju | Row 44
✅ Saved → RBQ | cuju | Row 45
✅ Saved → RBQ | cuju | Row 46
✅ Saved → RBQ | cuju | Row 47
✅ Saved → RBQ | cuju | Row 48
✅ Saved → RBQ | cuju | Row 49
✅ Saved → RBQ | cuju | Row 50
✅ Saved → RBQ | cuju | Row 52
✅ Saved → RBQ | cuju | Row 53
✅ Saved → RBQ | cuju | Row 54
✅ Saved → RBQ | cuju | Row 55
✅ Saved → RBQ | cuju | Row 56
✅ Saved → RBQ | cuju | Row 57
✅ Saved → RBQ | cuju | Row 60
✅ Saved → RBQ | cuju | Row 61
✅ Saved → RBQ | cuju | Row 62
✅ Saved → RBQ | cuju | Row 63
✅ Saved → RBQ | cuju | Row 64
✅ Saved → RBQ | cuju | Row 65
✅ Saved → RBQ | cuju | Row 66
✅ Saved → RBQ | cuju | Row 67
✅ Saved → RBQ | cuju | Row 68
✅ Saved → RBQ | cuju | Row 69
✅ Saved → RBQ | cuju | Row 70
✅ Saved → RBQ | cuju | Row 71
✅ Saved → RBQ | cuju | Row 72
✅ Saved → RBQ | cuju | Row 73
✅ Saved → RBQ | cuju | Row 74
✅ Saved → RBQ | cuju | Row 75
✅ Saved → RBQ | cuju | Row 76
✅ Saved → RBQ | cuju | Row 77
✅ Saved → RBQ | cuju | Row 78
✅ Saved → RBQ | cuju | Row 79
✅ Saved → RBQ | cuju | Row 80
✅ Saved → RBQ | cuju | Row 81
✅ Saved → RBQ | cuju | Row 82
✅ Saved → RBQ | cuju | Row 83
✅ Saved → RBQ | cuju | Row 84
✅ Saved → RBQ | cuju | Row 85
✅ Saved → RBQ | cuju | Row 86
✅ Saved → RBQ | cuju | Row 87
✅ Saved → RBQ | cuju | Row 88
✅ Saved → RBQ | cuju | Row 89
✅ Saved → RBQ | cuju | Row 90
✅ Saved → RBQ | cuju | Row 91
✅ Saved → RBQ | cuju | Row 92
✅ Saved → RBQ | cuju | Row 93
✅ Saved → RBQ | cuju | Row 94
✅ Saved → RBQ | cuju | Row 95
✅ Saved → RBQ | cuju | Row 96
✅ Saved → RBQ | cuju | Row 97
✅ Saved → RBQ | cuju | Row 98
✅ Saved → RBQ | cuju | Row 99
✅ Saved → RBQ | cuju | Row 100
✅ Saved → RBQ | cuju | Row 101
