Started at: 10:10:54
['/DATA/rohan_kirti/country/indonesia/RBQ/Indonesia_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/indonesia/RBQ/Indonesia_RBQ.xlsx
✅ Saved → RBQ | Karapan_Sapi | Row 0
✅ Saved → RBQ | Karapan_Sapi | Row 1
✅ Saved → RBQ | Karapan_Sapi | Row 2
✅ Saved → RBQ | Karapan_Sapi | Row 3
✅ Saved → RBQ | Karapan_Sapi | Row 4
✅ Saved → RBQ | Karapan_Sapi | Row 5
✅ Saved → RBQ | Karapan_Sapi | Row 6
✅ Saved → RBQ | Karapan_Sapi | Row 7
✅ Saved → RBQ | Karapan_Sapi | Row 8
✅ Saved → RBQ | Karapan_Sapi | Row 9
✅ Saved → RBQ | Karapan_Sapi | Row 10
✅ Saved → RBQ | Karapan_Sapi | Row 11
✅ Saved → RBQ | Karapan_Sapi | Row 12
✅ Saved → RBQ | Karapan_Sapi | Row 13
✅ Saved → RBQ | Karapan_Sapi | Row 14
✅ Saved → RBQ | Karapan_Sapi | Row 15
✅ Saved → RBQ | Karapan_Sapi | Row 16
✅ Saved → RBQ | Karapan_Sapi | Row 17
✅ Saved → RBQ | Karapan_Sapi | Row 18
✅ Saved → RBQ | Karapan_Sapi | Row 19
✅ Saved → RBQ | Karapan_Sapi | Row 20
✅ Saved → RBQ | Karapan_Sapi | Row 21
✅ Saved → RBQ | Karapan_Sapi | Row 22
✅ Saved → RBQ | Karapan_Sapi | Row 23
✅ Saved → RBQ | Karapan_Sapi | Row 24
✅ Saved → RBQ | Karapan_Sapi | Row 25
✅ Saved → RBQ | Karapan_Sapi | Row 26
✅ Saved → RBQ | Karapan_Sapi | Row 27
✅ Saved → RBQ | Karapan_Sapi | Row 28
✅ Saved → RBQ | Karapan_Sapi | Row 29
✅ Saved → RBQ | Karapan_Sapi | Row 30
✅ Saved → RBQ | Karapan_Sapi | Row 31
✅ Saved → RBQ | Karapan_Sapi | Row 32
✅ Saved → RBQ | Karapan_Sapi | Row 33
✅ Saved → RBQ | Karapan_Sapi | Row 34
✅ Saved → RBQ | Karapan_Sapi | Row 35
✅ Saved → RBQ | Karapan_Sapi | Row 36
✅ Saved → RBQ | Karapan_Sapi | Row 37
✅ Saved → RBQ | Karapan_Sapi | Row 38
✅ Saved → RBQ | Karapan_Sapi | Row 39
✅ Saved → RBQ | Karapan_Sapi | Row 40
✅ Saved → RBQ | Karapan_Sapi | Row 41
✅ Saved → RBQ | Karapan_Sapi | Row 42
✅ Saved → RBQ | Karapan_Sapi | Row 43
✅ Saved → RBQ | Karapan_Sapi | Row 44
✅ Saved → RBQ | Karapan_Sapi | Row 45
✅ Saved → RBQ | Karapan_Sapi | Row 46
✅ Saved → RBQ | Karapan_Sapi | Row 47
✅ Saved → RBQ | Karapan_Sapi | Row 48
✅ Saved → RBQ | Karapan_Sapi | Row 49
✅ Saved → RBQ | Karapan_Sapi | Row 50
✅ Saved → RBQ | Karapan_Sapi | Row 51
✅ Saved → RBQ | Karapan_Sapi | Row 52
