Started at: 01:55:28

📌 Processing: /DATA/rohan_kirti/niladri/country/pakistan/HBQ/Pakistan_HBQ.xlsx
✅ Saved → HBQ | Malakhra | Row 0
✅ Saved → HBQ | Malakhra | Row 1
✅ Saved → HBQ | Malakhra | Row 2
✅ Saved → HBQ | Malakhra | Row 3
✅ Saved → HBQ | Malakhra | Row 4
✅ Saved → HBQ | Malakhra | Row 5
✅ Saved → HBQ | Malakhra | Row 6
✅ Saved → HBQ | Malakhra | Row 7
✅ Saved → HBQ | Malakhra | Row 8
✅ Saved → HBQ | Malakhra | Row 9
✅ Saved → HBQ | Malakhra | Row 10
✅ Saved → HBQ | Malakhra | Row 11
✅ Saved → HBQ | Malakhra | Row 12
✅ Saved → HBQ | Malakhra | Row 13
✅ Saved → HBQ | Malakhra | Row 14
✅ Saved → HBQ | Malakhra | Row 15
✅ Saved → HBQ | Malakhra | Row 16
✅ Saved → HBQ | Malakhra | Row 17
✅ Saved → HBQ | Malakhra | Row 18
✅ Saved → HBQ | Malakhra | Row 19
✅ Saved → HBQ | Malakhra | Row 20
✅ Saved → HBQ | Malakhra | Row 21
✅ Saved → HBQ | Malakhra | Row 22
✅ Saved → HBQ | Malakhra | Row 23
✅ Saved → HBQ | Malakhra | Row 24
✅ Saved → HBQ | Malakhra | Row 25
✅ Saved → HBQ | Malakhra | Row 26
✅ Saved → HBQ | Malakhra | Row 27
✅ Saved → HBQ | Malakhra | Row 28
✅ Saved → HBQ | Malakhra | Row 29
✅ Saved → HBQ | Malakhra | Row 30
✅ Saved → HBQ | Malakhra | Row 31
✅ Saved → HBQ | Malakhra | Row 32
✅ Saved → HBQ | Malakhra | Row 33
✅ Saved → HBQ | Malakhra | Row 34
✅ Saved → HBQ | Malakhra | Row 35
✅ Saved → HBQ | Malakhra | Row 36
✅ Saved → HBQ | Malakhra | Row 37
✅ Saved → HBQ | Malakhra | Row 38
✅ Saved → HBQ | Malakhra | Row 39
✅ Saved → HBQ | Malakhra | Row 40
✅ Saved → HBQ | Malakhra | Row 41
✅ Saved → HBQ | Malakhra | Row 42
✅ Saved → HBQ | Malakhra | Row 43
✅ Saved → HBQ | Malakhra | Row 44
✅ Saved → HBQ | Malakhra | Row 45
✅ Saved → HBQ | Malakhra | Row 46
✅ Saved → HBQ | Malakhra | Row 47
✅ Saved → HBQ | Malakhra | Row 48
✅ Saved → HBQ | Malakhra | Row 49
✅ Saved → HBQ | Malakhra | Row 50
✅ Saved → HBQ | Malakhra | Row 51
✅ Saved → HBQ | Malakhra | Row 52
✅ Saved → HBQ | Malakhra | Row 53
✅ Saved → HBQ | Malakhra | Row 54
✅ Saved → HBQ | Malakhra | Row 55
✅ Saved → HBQ | Malakhra | Row 56
✅ Saved → HBQ | Malakhra | Row 57
✅ Saved → HBQ | Malakhra | Row 58
✅ Saved → HBQ | Malakhra | Row 59
✅ Saved → HBQ | Malakhra | Row 60
✅ Saved → HBQ | Malakhra | Row 61
✅ Saved → HBQ | Malakhra | Row 62
✅ Saved → HBQ | Malakhra | Row 63
✅ Saved → HBQ | Malakhra | Row 64
✅ Saved → HBQ | Malakhra | Row 65
Failed to decode JSON from model: {
  "score": 0,
  "mistake": "The question asks for a Sindhi idiom related to sports that expresses 'unshakable determination', but the provided correct answer option is labeled as 'ب) "ایک پہلوان کی گرفت کی طرح مضبوط"' which is not among the given options (A, B, C, D). The options list uses English letters (A, B, C, D), but the answer key uses Urdu/Persian letter 'ب)' — this is inconsistent. Additionally, option B in the list is written as 'پہلوان کی گرفت کی طرح مضبوط' without the initial 'ایک', which is grammatically incomplete in context. The correct idiom should match exactly as presented in options.",
  "improved_question": "کھیل سے متاثر کون سا سندھی محاورہ غیر متزلزل عزم کو بیان کرنے کے لیے استعمال ہوتا ہے؟",
  "improved_options": [
    "A) \"سات بار گریں، آٹھ اٹھیں\"",
    "B) \"پہلوان کی گرفت کی طرح مضبوط\"",
    "C) \"طاقت خاموشی میں ہے\"",
    "D) \"میدان سچ کا فیصلہ کرتا ہے\""
  ],
  "correct_answer": "B) \"پہلوان کی گرفت کی طرح مضبوط\""
}
✅ Saved → HBQ | Malakhra | Row 66
✅ Saved → HBQ | Malakhra | Row 67
✅ Saved → HBQ | Malakhra | Row 68
✅ Saved → HBQ | Malakhra | Row 69
✅ Saved → HBQ | Malakhra | Row 70
✅ Saved → HBQ | Malakhra | Row 71
✅ Saved → HBQ | Malakhra | Row 72
✅ Saved → HBQ | Malakhra | Row 73
✅ Saved → HBQ | Malakhra | Row 74
✅ Saved → HBQ | Malakhra | Row 75
✅ Saved → HBQ | Malakhra | Row 76
✅ Saved → HBQ | Malakhra | Row 77
✅ Saved → HBQ | Malakhra | Row 78
✅ Saved → HBQ | Malakhra | Row 79
✅ Saved → HBQ | Malakhra | Row 80
✅ Saved → HBQ | Malakhra | Row 81
✅ Saved → HBQ | Malakhra | Row 82
✅ Saved → HBQ | Malakhra | Row 83
✅ Saved → HBQ | Malakhra | Row 84
✅ Saved → HBQ | Malakhra | Row 85
✅ Saved → HBQ | Malakhra | Row 86
✅ Saved → HBQ | Malakhra | Row 87
✅ Saved → HBQ | Malakhra | Row 88
✅ Saved → HBQ | Malakhra | Row 89
✅ Saved → HBQ | Malakhra | Row 90
✅ Saved → HBQ | Malakhra | Row 91
✅ Saved → HBQ | Malakhra | Row 92
✅ Saved → HBQ | Malakhra | Row 93
✅ Saved → HBQ | Malakhra | Row 94
✅ Saved → HBQ | Malakhra | Row 95
✅ Saved → HBQ | Malakhra | Row 96
✅ Saved → HBQ | Malakhra | Row 97
✅ Saved → HBQ | Malakhra | Row 98
✅ Saved → HBQ | Malakhra | Row 99
✅ Saved → HBQ | Malakhra | Row 100
✅ Saved → HBQ | Malakhra | Row 101
✅ Saved → HBQ | Malakhra | Row 102
✅ Saved → HBQ | Malakhra | Row 103
✅ Saved → HBQ | Malakhra | Row 104
✅ Saved → HBQ | Malakhra | Row 105
✅ Saved → HBQ | Malakhra | Row 106
✅ Saved → HBQ | Malakhra | Row 107
✅ Saved → HBQ | Malakhra | Row 108
✅ Saved → HBQ | Malakhra | Row 109
✅ Saved → HBQ | Malakhra | Row 110
✅ Saved → HBQ | Malakhra | Row 111
✅ Saved → HBQ | Malakhra | Row 112
✅ Saved → HBQ | Malakhra | Row 113
✅ Saved → HBQ | Malakhra | Row 114
✅ Saved → HBQ | Malakhra | Row 115
✅ Saved → HBQ | Malakhra | Row 116
✅ Saved → HBQ | Malakhra | Row 117
✅ Saved → HBQ | Malakhra | Row 118
✅ Saved → HBQ | Malakhra | Row 119
✅ Saved → HBQ | Malakhra | Row 120
✅ Saved → HBQ | Malakhra | Row 121
✅ Saved → HBQ | Malakhra | Row 122
✅ Saved → HBQ | Malakhra | Row 123
✅ Saved → HBQ | Malakhra | Row 124
✅ Saved → HBQ | Malakhra | Row 125
✅ Saved → HBQ | Malakhra | Row 126
✅ Saved → HBQ | Malakhra | Row 127
✅ Saved → HBQ | Malakhra | Row 128
✅ Saved → HBQ | Malakhra | Row 129
✅ Saved → HBQ | Malakhra | Row 130
✅ Saved → HBQ | Malakhra | Row 131
✅ Saved → HBQ | Malakhra | Row 132
✅ Saved → HBQ | Malakhra | Row 133
✅ Saved → HBQ | Malakhra | Row 134
✅ Saved → HBQ | Malakhra | Row 135
✅ Saved → HBQ | Malakhra | Row 136
✅ Saved → HBQ | Malakhra | Row 137
✅ Saved → HBQ | Malakhra | Row 138
✅ Saved → HBQ | Malakhra | Row 139
✅ Saved → HBQ | Malakhra | Row 140
✅ Saved → HBQ | Malakhra | Row 141
✅ Saved → HBQ | Malakhra | Row 142
✅ Saved → HBQ | Malakhra | Row 143
✅ Saved → HBQ | Malakhra | Row 144
✅ Saved → HBQ | Malakhra | Row 145
✅ Saved → HBQ | Malakhra | Row 146
✅ Saved → HBQ | Malakhra | Row 147
✅ Saved → HBQ | Malakhra | Row 148
✅ Saved → HBQ | Malakhra | Row 149
✅ Saved → HBQ | Chaturanga | Row 0
✅ Saved → HBQ | Chaturanga | Row 1
✅ Saved → HBQ | Chaturanga | Row 2
✅ Saved → HBQ | Chaturanga | Row 3
✅ Saved → HBQ | Chaturanga | Row 4
✅ Saved → HBQ | Chaturanga | Row 5
✅ Saved → HBQ | Chaturanga | Row 6
✅ Saved → HBQ | Chaturanga | Row 7
✅ Saved → HBQ | Chaturanga | Row 8
✅ Saved → HBQ | Chaturanga | Row 9
✅ Saved → HBQ | Chaturanga | Row 10
✅ Saved → HBQ | Chaturanga | Row 11
✅ Saved → HBQ | Chaturanga | Row 12
✅ Saved → HBQ | Chaturanga | Row 13
✅ Saved → HBQ | Chaturanga | Row 14
✅ Saved → HBQ | Chaturanga | Row 15
✅ Saved → HBQ | Chaturanga | Row 16
✅ Saved → HBQ | Chaturanga | Row 17
✅ Saved → HBQ | Chaturanga | Row 18
✅ Saved → HBQ | Chaturanga | Row 19
✅ Saved → HBQ | Chaturanga | Row 20
✅ Saved → HBQ | Chaturanga | Row 21
✅ Saved → HBQ | Chaturanga | Row 22
✅ Saved → HBQ | Chaturanga | Row 23
✅ Saved → HBQ | Chaturanga | Row 24
✅ Saved → HBQ | Chaturanga | Row 25
✅ Saved → HBQ | Chaturanga | Row 26
✅ Saved → HBQ | Chaturanga | Row 27
✅ Saved → HBQ | Chaturanga | Row 28
✅ Saved → HBQ | Chaturanga | Row 29
✅ Saved → HBQ | Chaturanga | Row 30
✅ Saved → HBQ | Chaturanga | Row 31
✅ Saved → HBQ | Chaturanga | Row 32
✅ Saved → HBQ | Chaturanga | Row 33
✅ Saved → HBQ | Chaturanga | Row 34
✅ Saved → HBQ | Chaturanga | Row 35
✅ Saved → HBQ | Chaturanga | Row 36
✅ Saved → HBQ | Chaturanga | Row 37
✅ Saved → HBQ | Chaturanga | Row 38
✅ Saved → HBQ | Chaturanga | Row 39
✅ Saved → HBQ | Chaturanga | Row 40
✅ Saved → HBQ | Chaturanga | Row 41
✅ Saved → HBQ | Chaturanga | Row 42
✅ Saved → HBQ | Chaturanga | Row 43
✅ Saved → HBQ | Chaturanga | Row 44
✅ Saved → HBQ | Chaturanga | Row 45
✅ Saved → HBQ | Chaturanga | Row 46
✅ Saved → HBQ | Chaturanga | Row 47
✅ Saved → HBQ | Chaturanga | Row 48
✅ Saved → HBQ | Chaturanga | Row 49
✅ Saved → HBQ | Chaturanga | Row 50
✅ Saved → HBQ | Chaturanga | Row 51
✅ Saved → HBQ | Chaturanga | Row 52
✅ Saved → HBQ | Chaturanga | Row 53
✅ Saved → HBQ | Chaturanga | Row 54
✅ Saved → HBQ | Chaturanga | Row 55
✅ Saved → HBQ | Chaturanga | Row 56
✅ Saved → HBQ | Chaturanga | Row 57
✅ Saved → HBQ | Chaturanga | Row 58
✅ Saved → HBQ | Chaturanga | Row 59
✅ Saved → HBQ | Chaturanga | Row 60
✅ Saved → HBQ | Chaturanga | Row 61
✅ Saved → HBQ | Chaturanga | Row 62
✅ Saved → HBQ | Chaturanga | Row 63
✅ Saved → HBQ | Chaturanga | Row 64
✅ Saved → HBQ | Chaturanga | Row 65
✅ Saved → HBQ | Chaturanga | Row 66
