Started at: 01:58:27

📌 Processing: /DATA/rohan_kirti/niladri/country/pakistan/SBQ/Pakistan_SBQ.xlsx
✅ Saved → SBQ | Malakhra | Row 0
✅ Saved → SBQ | Malakhra | Row 1
✅ Saved → SBQ | Malakhra | Row 2
✅ Saved → SBQ | Malakhra | Row 3
✅ Saved → SBQ | Malakhra | Row 4
✅ Saved → SBQ | Malakhra | Row 5
✅ Saved → SBQ | Malakhra | Row 6
✅ Saved → SBQ | Malakhra | Row 7
✅ Saved → SBQ | Malakhra | Row 8
✅ Saved → SBQ | Malakhra | Row 9
✅ Saved → SBQ | Malakhra | Row 10
✅ Saved → SBQ | Malakhra | Row 11
✅ Saved → SBQ | Malakhra | Row 12
✅ Saved → SBQ | Malakhra | Row 13
✅ Saved → SBQ | Malakhra | Row 14
✅ Saved → SBQ | Malakhra | Row 15
✅ Saved → SBQ | Malakhra | Row 16
✅ Saved → SBQ | Malakhra | Row 17
✅ Saved → SBQ | Malakhra | Row 18
✅ Saved → SBQ | Malakhra | Row 19
✅ Saved → SBQ | Malakhra | Row 20
✅ Saved → SBQ | Malakhra | Row 21
✅ Saved → SBQ | Malakhra | Row 22
✅ Saved → SBQ | Malakhra | Row 23
✅ Saved → SBQ | Malakhra | Row 24
✅ Saved → SBQ | Malakhra | Row 25
✅ Saved → SBQ | Malakhra | Row 26
✅ Saved → SBQ | Malakhra | Row 27
✅ Saved → SBQ | Malakhra | Row 28
✅ Saved → SBQ | Malakhra | Row 29
✅ Saved → SBQ | Malakhra | Row 30
✅ Saved → SBQ | Malakhra | Row 31
✅ Saved → SBQ | Malakhra | Row 32
✅ Saved → SBQ | Malakhra | Row 33
✅ Saved → SBQ | Malakhra | Row 34
✅ Saved → SBQ | Malakhra | Row 35
✅ Saved → SBQ | Malakhra | Row 36
✅ Saved → SBQ | Malakhra | Row 37
✅ Saved → SBQ | Malakhra | Row 38
✅ Saved → SBQ | Malakhra | Row 39
✅ Saved → SBQ | Malakhra | Row 40
✅ Saved → SBQ | Malakhra | Row 41
✅ Saved → SBQ | Malakhra | Row 42
✅ Saved → SBQ | Malakhra | Row 43
✅ Saved → SBQ | Malakhra | Row 44
✅ Saved → SBQ | Malakhra | Row 45
✅ Saved → SBQ | Malakhra | Row 46
✅ Saved → SBQ | Malakhra | Row 47
✅ Saved → SBQ | Malakhra | Row 48
✅ Saved → SBQ | Malakhra | Row 49
✅ Saved → SBQ | Malakhra | Row 50
✅ Saved → SBQ | Malakhra | Row 53
✅ Saved → SBQ | Malakhra | Row 54
✅ Saved → SBQ | Malakhra | Row 55
✅ Saved → SBQ | Malakhra | Row 56
✅ Saved → SBQ | Malakhra | Row 57
✅ Saved → SBQ | Malakhra | Row 58
✅ Saved → SBQ | Malakhra | Row 59
✅ Saved → SBQ | Malakhra | Row 61
✅ Saved → SBQ | Malakhra | Row 64
✅ Saved → SBQ | Malakhra | Row 66
✅ Saved → SBQ | Malakhra | Row 67
✅ Saved → SBQ | Malakhra | Row 69
✅ Saved → SBQ | Malakhra | Row 70
✅ Saved → SBQ | Malakhra | Row 72
✅ Saved → SBQ | Malakhra | Row 73
✅ Saved → SBQ | Malakhra | Row 74
✅ Saved → SBQ | Malakhra | Row 75
✅ Saved → SBQ | Malakhra | Row 77
✅ Saved → SBQ | Malakhra | Row 78
✅ Saved → SBQ | Malakhra | Row 79
✅ Saved → SBQ | Malakhra | Row 85
✅ Saved → SBQ | Malakhra | Row 86
✅ Saved → SBQ | Malakhra | Row 87
✅ Saved → SBQ | Malakhra | Row 88
✅ Saved → SBQ | Malakhra | Row 93
✅ Saved → SBQ | Malakhra | Row 95
✅ Saved → SBQ | Malakhra | Row 98
✅ Saved → SBQ | Malakhra | Row 100
✅ Saved → SBQ | Malakhra | Row 101
✅ Saved → SBQ | Malakhra | Row 102
✅ Saved → SBQ | Malakhra | Row 103
✅ Saved → SBQ | Malakhra | Row 104
✅ Saved → SBQ | Malakhra | Row 105
✅ Saved → SBQ | Malakhra | Row 106
✅ Saved → SBQ | Malakhra | Row 107
✅ Saved → SBQ | Malakhra | Row 108
✅ Saved → SBQ | Malakhra | Row 109
✅ Saved → SBQ | Malakhra | Row 110
✅ Saved → SBQ | Malakhra | Row 111
✅ Saved → SBQ | Malakhra | Row 112
✅ Saved → SBQ | Malakhra | Row 113
✅ Saved → SBQ | Malakhra | Row 114
✅ Saved → SBQ | Malakhra | Row 115
