Started at: 02:05:10
['/DATA/rohan_kirti/niladri/country/sudan/RBQ/Sudan_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/niladri/country/sudan/RBQ/Sudan_RBQ.xlsx
✅ Saved → RBQ | Camel_Racing | Row 0
✅ Saved → RBQ | Camel_Racing | Row 1
✅ Saved → RBQ | Camel_Racing | Row 2
✅ Saved → RBQ | Camel_Racing | Row 3
✅ Saved → RBQ | Camel_Racing | Row 4
✅ Saved → RBQ | Camel_Racing | Row 5
✅ Saved → RBQ | Camel_Racing | Row 6
✅ Saved → RBQ | Camel_Racing | Row 7
✅ Saved → RBQ | Camel_Racing | Row 8
✅ Saved → RBQ | Camel_Racing | Row 9
✅ Saved → RBQ | Camel_Racing | Row 10
✅ Saved → RBQ | Camel_Racing | Row 11
✅ Saved → RBQ | Camel_Racing | Row 12
✅ Saved → RBQ | Camel_Racing | Row 13
✅ Saved → RBQ | Camel_Racing | Row 14
✅ Saved → RBQ | Camel_Racing | Row 15
✅ Saved → RBQ | Camel_Racing | Row 16
✅ Saved → RBQ | Camel_Racing | Row 17
✅ Saved → RBQ | Camel_Racing | Row 18
✅ Saved → RBQ | Camel_Racing | Row 19
✅ Saved → RBQ | Camel_Racing | Row 20
✅ Saved → RBQ | Camel_Racing | Row 21
✅ Saved → RBQ | Camel_Racing | Row 22
✅ Saved → RBQ | Camel_Racing | Row 23
✅ Saved → RBQ | Camel_Racing | Row 24
✅ Saved → RBQ | Camel_Racing | Row 25
✅ Saved → RBQ | Camel_Racing | Row 26
✅ Saved → RBQ | Camel_Racing | Row 27
✅ Saved → RBQ | Camel_Racing | Row 28
✅ Saved → RBQ | Camel_Racing | Row 29
✅ Saved → RBQ | Camel_Racing | Row 30
✅ Saved → RBQ | Camel_Racing | Row 31
✅ Saved → RBQ | Camel_Racing | Row 32
✅ Saved → RBQ | Camel_Racing | Row 33
✅ Saved → RBQ | Camel_Racing | Row 34
✅ Saved → RBQ | Camel_Racing | Row 35
✅ Saved → RBQ | Camel_Racing | Row 36
✅ Saved → RBQ | Camel_Racing | Row 37
✅ Saved → RBQ | Camel_Racing | Row 38
✅ Saved → RBQ | Camel_Racing | Row 39
✅ Saved → RBQ | Camel_Racing | Row 40
✅ Saved → RBQ | Camel_Racing | Row 41
✅ Saved → RBQ | Camel_Racing | Row 42
✅ Saved → RBQ | Camel_Racing | Row 43
✅ Saved → RBQ | Camel_Racing | Row 44
✅ Saved → RBQ | Camel_Racing | Row 45
✅ Saved → RBQ | Camel_Racing | Row 46
✅ Saved → RBQ | Camel_Racing | Row 47
✅ Saved → RBQ | Camel_Racing | Row 48
✅ Saved → RBQ | Camel_Racing | Row 49
✅ Saved → RBQ | Camel_Racing | Row 50
✅ Saved → RBQ | Camel_Racing | Row 51
✅ Saved → RBQ | Camel_Racing | Row 52
✅ Saved → RBQ | Camel_Racing | Row 53
✅ Saved → RBQ | Camel_Racing | Row 54
✅ Saved → RBQ | Camel_Racing | Row 55
✅ Saved → RBQ | Camel_Racing | Row 56
✅ Saved → RBQ | Camel_Racing | Row 57
✅ Saved → RBQ | Camel_Racing | Row 58
✅ Saved → RBQ | Camel_Racing | Row 59
✅ Saved → RBQ | Camel_Racing | Row 60
✅ Saved → RBQ | Camel_Racing | Row 61
✅ Saved → RBQ | Camel_Racing | Row 62
✅ Saved → RBQ | Camel_Racing | Row 63
✅ Saved → RBQ | Camel_Racing | Row 64
✅ Saved → RBQ | Camel_Racing | Row 65
✅ Saved → RBQ | Camel_Racing | Row 66
✅ Saved → RBQ | Camel_Racing | Row 67
✅ Saved → RBQ | Camel_Racing | Row 68
✅ Saved → RBQ | Camel_Racing | Row 69
✅ Saved → RBQ | Camel_Racing | Row 70
✅ Saved → RBQ | Camel_Racing | Row 71
✅ Saved → RBQ | Camel_Racing | Row 72
✅ Saved → RBQ | Camel_Racing | Row 73
✅ Saved → RBQ | Camel_Racing | Row 74
✅ Saved → RBQ | Camel_Racing | Row 75
✅ Saved → RBQ | Camel_Racing | Row 76
✅ Saved → RBQ | Camel_Racing | Row 77
✅ Saved → RBQ | Camel_Racing | Row 78
✅ Saved → RBQ | Camel_Racing | Row 79
✅ Saved → RBQ | Camel_Racing | Row 80
✅ Saved → RBQ | Camel_Racing | Row 81
✅ Saved → RBQ | Camel_Racing | Row 82
✅ Saved → RBQ | Camel_Racing | Row 83
✅ Saved → RBQ | Camel_Racing | Row 84
✅ Saved → RBQ | Camel_Racing | Row 85
✅ Saved → RBQ | Camel_Racing | Row 86
✅ Saved → RBQ | Camel_Racing | Row 87
✅ Saved → RBQ | Camel_Racing | Row 88
✅ Saved → RBQ | Camel_Racing | Row 89
✅ Saved → RBQ | Camel_Racing | Row 90
✅ Saved → RBQ | Camel_Racing | Row 91
✅ Saved → RBQ | Camel_Racing | Row 92
✅ Saved → RBQ | Camel_Racing | Row 93
✅ Saved → RBQ | Camel_Racing | Row 94
✅ Saved → RBQ | Camel_Racing | Row 95
✅ Saved → RBQ | Camel_Racing | Row 96
✅ Saved → RBQ | Camel_Racing | Row 97
✅ Saved → RBQ | Camel_Racing | Row 98
✅ Saved → RBQ | Camel_Racing | Row 99
✅ Saved → RBQ | Camel_Racing | Row 100
✅ Saved → RBQ | Camel_Racing | Row 101
✅ Saved → RBQ | Camel_Racing | Row 102
✅ Saved → RBQ | Camel_Racing | Row 103
✅ Saved → RBQ | Camel_Racing | Row 104
✅ Saved → RBQ | Camel_Racing | Row 105
✅ Saved → RBQ | Camel_Racing | Row 106
✅ Saved → RBQ | Camel_Racing | Row 107
✅ Saved → RBQ | Camel_Racing | Row 108
✅ Saved → RBQ | Camel_Racing | Row 109
✅ Saved → RBQ | Camel_Racing | Row 110
✅ Saved → RBQ | Camel_Racing | Row 111
✅ Saved → RBQ | Camel_Racing | Row 112
✅ Saved → RBQ | Camel_Racing | Row 113
✅ Saved → RBQ | Camel_Racing | Row 114
✅ Saved → RBQ | Camel_Racing | Row 115
✅ Saved → RBQ | Camel_Racing | Row 116
✅ Saved → RBQ | Camel_Racing | Row 117
✅ Saved → RBQ | Camel_Racing | Row 118
✅ Saved → RBQ | Camel_Racing | Row 119
✅ Saved → RBQ | Camel_Racing | Row 120
✅ Saved → RBQ | Camel_Racing | Row 121
✅ Saved → RBQ | Camel_Racing | Row 122
✅ Saved → RBQ | Camel_Racing | Row 123
✅ Saved → RBQ | Camel_Racing | Row 124
✅ Saved → RBQ | Camel_Racing | Row 125
✅ Saved → RBQ | Camel_Racing | Row 126
✅ Saved → RBQ | Camel_Racing | Row 127
✅ Saved → RBQ | Camel_Racing | Row 128
✅ Saved → RBQ | Camel_Racing | Row 129
✅ Saved → RBQ | Camel_Racing | Row 130
✅ Saved → RBQ | Camel_Racing | Row 131
✅ Saved → RBQ | Camel_Racing | Row 132
✅ Saved → RBQ | Camel_Racing | Row 133
✅ Saved → RBQ | Camel_Racing | Row 134
✅ Saved → RBQ | Camel_Racing | Row 135
✅ Saved → RBQ | Camel_Racing | Row 136
✅ Saved → RBQ | Camel_Racing | Row 137
✅ Saved → RBQ | Camel_Racing | Row 138
✅ Saved → RBQ | Camel_Racing | Row 139
✅ Saved → RBQ | Camel_Racing | Row 140
✅ Saved → RBQ | Camel_Racing | Row 141
✅ Saved → RBQ | Camel_Racing | Row 142
✅ Saved → RBQ | Camel_Racing | Row 143
✅ Saved → RBQ | Camel_Racing | Row 144
✅ Saved → RBQ | Camel_Racing | Row 145
✅ Saved → RBQ | Camel_Racing | Row 146
✅ Saved → RBQ | Camel_Racing | Row 147
✅ Saved → RBQ | Camel_Racing | Row 148
✅ Saved → RBQ | Camel_Racing | Row 149
✅ Saved → RBQ | Nuba_Wrestling | Row 0
✅ Saved → RBQ | Nuba_Wrestling | Row 1
✅ Saved → RBQ | Nuba_Wrestling | Row 2
✅ Saved → RBQ | Nuba_Wrestling | Row 3
✅ Saved → RBQ | Nuba_Wrestling | Row 4
✅ Saved → RBQ | Nuba_Wrestling | Row 5
✅ Saved → RBQ | Nuba_Wrestling | Row 6
✅ Saved → RBQ | Nuba_Wrestling | Row 7
✅ Saved → RBQ | Nuba_Wrestling | Row 8
✅ Saved → RBQ | Nuba_Wrestling | Row 9
✅ Saved → RBQ | Nuba_Wrestling | Row 10
✅ Saved → RBQ | Nuba_Wrestling | Row 11
✅ Saved → RBQ | Nuba_Wrestling | Row 12
✅ Saved → RBQ | Nuba_Wrestling | Row 13
✅ Saved → RBQ | Nuba_Wrestling | Row 14
✅ Saved → RBQ | Nuba_Wrestling | Row 15
✅ Saved → RBQ | Nuba_Wrestling | Row 16
✅ Saved → RBQ | Nuba_Wrestling | Row 17
✅ Saved → RBQ | Nuba_Wrestling | Row 18
✅ Saved → RBQ | Nuba_Wrestling | Row 19
✅ Saved → RBQ | Nuba_Wrestling | Row 20
✅ Saved → RBQ | Nuba_Wrestling | Row 21
✅ Saved → RBQ | Nuba_Wrestling | Row 22
✅ Saved → RBQ | Nuba_Wrestling | Row 23
✅ Saved → RBQ | Nuba_Wrestling | Row 24
✅ Saved → RBQ | Nuba_Wrestling | Row 25
✅ Saved → RBQ | Nuba_Wrestling | Row 26
✅ Saved → RBQ | Nuba_Wrestling | Row 27
✅ Saved → RBQ | Nuba_Wrestling | Row 28
✅ Saved → RBQ | Nuba_Wrestling | Row 29
✅ Saved → RBQ | Nuba_Wrestling | Row 30
✅ Saved → RBQ | Nuba_Wrestling | Row 31
✅ Saved → RBQ | Nuba_Wrestling | Row 32
